,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
272,eBxgYk,25-34 years old,1,"At home, At a cafe",Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Sweet,Somewhat light,Light,Full caffeine,3.0,3.0,3.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0,1.0,5.0,1.0,Coffee C,Coffee A,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
273,RzBqj9,25-34 years old,2,At home,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer, No - just black, Flavor syrup","Oat milk, Flavored coffee creamer",Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,3.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,5.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,"It tastes good, I need the caffeine",Yes,No,$4-$6,$4-$6,No,$500-$1000,Yes,Female,High school graduate,White/Caucasian,Employed part-time,0,No affiliation
274,1r2QGg,35-44 years old,2,At home,"Pour over, Espresso, French press",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Somewhat strong,Light,Full caffeine,8.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,It tastes good,Yes,Yes,$8-$10,$6-$8,No,$500-$1000,Yes,Male,,,,0,
276,MAdj6k,18-24 years old,3,"At home, At a cafe","Pour over, Espresso",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Nordic,Full caffeine,8.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the ritual",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,Democrat
277,OABxER,18-24 years old,1,At home,Pour over,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Decaf,4.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,Coffee B,Coffee D,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$8-$10,$8-$10,Yes,$50-$100,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Student,0,Democrat
278,BGbJ0K,25-34 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Medium,Full caffeine,5.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,4.0,4.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
279,qbE8jO,45-54 years old,More than 4,"At home, At the office",Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Medium,Full caffeine,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work in person,$40-$60,It tastes good,Yes,Yes,$8-$10,Less than $2,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
280,kYR8ze,>65 years old,1,"At the office, At a cafe",,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Almond milk,Don't add swetener,Fruity,Medium,Medium,Full caffeine,6.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,3.0,4.0,1.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,>$100,It tastes good,Yes,Yes,$6-$8,$6-$8,,$100-$300,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed part-time,0,Democrat
281,GrBODQ,45-54 years old,More than 4,"At the office, At home","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bold,Very strong,Dark,Full caffeine,5.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,Coffee A,Coffee A,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$4-$6,$4-$6,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
282,vNx8KD,35-44 years old,2,"At the office, At home","Pour over, Cold brew, Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,8.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,Black/African American,Employed full-time,0,No affiliation
283,oAV8VN,35-44 years old,1,At home,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee), Espresso",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Juicy,Medium,Light,Full caffeine,5.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$4-$6,Yes,$300-$500,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,0,Democrat
284,VZ1Wxg,35-44 years old,2,"At the office, On the go, At home",Pour over,"Specialty coffee shop, Local cafe",Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,7.0,1.0,4.0,5.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
285,24x9Oe,25-34 years old,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso, Cold brew","Specialty coffee shop, Local cafe",Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,4.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Independent
286,KMBrO8,55-64 years old,1,"At home, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cortado,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Nutty,Medium,Medium,Full caffeine,8.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
287,WApa1v,18-24 years old,1,At home,"Pour over, Other",Don't purchase on the go,Mocha,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,5.0,3.0,Coffee B,Coffee D,Coffee A,I primarily work in person,$20-$40,"I need the caffeine, It tastes good",Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Some college or associate's degree,Hispanic/Latino,Student,0,Independent
288,bl41gL,25-34 years old,1,"At home, At a cafe, At the office",Pod/capsule machine (e.g. Keurig/Nespresso),Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Caramalized,Medium,Italian,Full caffeine,3.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0,1.0,Coffee C,Coffee A,Coffee D,I do a mix of both,<$20,I need the caffeine,No,No,$6-$8,$8-$10,No,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
289,EPbovB,25-34 years old,1,On the go,,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Iced coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Coffee creamer, Flavored coffee creamer, Half and half","Artificial Sweeteners (e.g., Splenda), Brown Sugar",Sweet,Somewhat light,Medium,Full caffeine,4.0,2.0,4.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,I need the caffeine,Yes,No,$6-$8,$8-$10,Yes,,,Female,Master's degree,White/Caucasian,Employed full-time,0,Republican
290,ylq8e8,55-64 years old,3,"At home, At the office",Pour over,Don't purchase on the go,Pourover,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Bold,Somewhat strong,Dark,Full caffeine,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"I need the ritual, I need the caffeine, It tastes good",Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Female,Master's degree,Hispanic/Latino,Employed full-time,2,Democrat
291,24x9ZL,35-44 years old,2,"At home, At the office","Coffee extract (e.g. Cometeer), Espresso",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Medium,Full caffeine,4.0,3.0,5.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,>$100,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Republican
292,MAdjGM,35-44 years old,2,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat light,Light,Full caffeine,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Democrat
293,24x9Zj,35-44 years old,1,At home,Other,Don't purchase on the go,Other,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Medium,Full caffeine,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
294,rlr8kR,25-34 years old,2,"At the office, At home, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer",Soy milk,Don't add swetener,Sweet,Somewhat strong,Light,Full caffeine,3.0,5.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$40-$60,"I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom",Yes,No,$6-$8,$8-$10,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
295,g5N8pl,25-34 years old,2,"At the office, At home",Pour over,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat light,Blonde,Full caffeine,7.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,$6-$8,Yes,$300-$500,Yes,Male,,,,0,
296,rlr8qN,55-64 years old,3,At the office,,Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$4-$6,$4-$6,Yes,$50-$100,Yes,Male,,,,0,
297,ylq87g,25-34 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat strong,Light,Full caffeine,8.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,It tastes good,Yes,Yes,$8-$10,$15-$20,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
298,GrBO7Z,35-44 years old,3,At home,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Fruity,Medium,Light,Full caffeine,9.0,2.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
299,NAB2Rj,35-44 years old,1,"At home, At a cafe","Espresso, Pour over, Cold brew",Don't purchase on the go,Espresso,"Milk, dairy alternative, or coffee creamer, No - just black",Oat milk,Don't add swetener,Sweet,Medium,Medium,Full caffeine,8.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
300,RzBqkj,35-44 years old,2,At home,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Medium,Light,Full caffeine,8.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$6-$8,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,1,Democrat
301,xdN86r,18-24 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,6.0,1.0,5.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$4-$6,No,$100-$300,Yes,Male,Some college or associate's degree,Asian/Pacific Islander,Student,0,No affiliation
302,9dJArQ,25-34 years old,1,At the office,,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Floral,Medium,Medium,Full caffeine,5.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,Coffee C,Coffee A,Coffee C,I primarily work in person,>$100,I need the caffeine,Yes,No,$8-$10,$4-$6,No,"More than $1,000",No,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,Independent
303,EPboa4,35-44 years old,2,At home,Pour over,Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bright,Somewhat strong,Medium,Half caff,6.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$80-$100,It tastes good,Yes,Yes,$2-$4,$2-$4,No,$100-$300,Yes,Female,,,,0,
304,WApaQN,18-24 years old,1,At a cafe,,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer","Oat milk, Whole milk, Almond milk",Don't add swetener,Fruity,Medium,Medium,Full caffeine,1.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, It makes me go to the bathroom, I need the caffeine, I need the ritual",Yes,No,$6-$8,$4-$6,Yes,Less than $20,Yes,Female,,,,0,
305,42NlN5,35-44 years old,1,"At home, At a cafe","French press, Other",Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Dark,Half caff,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
306,AlbM50,25-34 years old,2,"At a cafe, At the office, On the go, At home",French press,Specialty coffee shop,Latte,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Chocolatey,Somewhat strong,Light,Full caffeine,3.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,No,$6-$8,$10-$15,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
307,QABNap,35-44 years old,2,"At the office, On the go, At home",Coffee extract (e.g. Cometeer),Other,Iced coffee,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,"I need the caffeine, I need the ritual, It tastes good",Yes,Yes,$15-$20,$4-$6,No,Less than $20,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Independent
308,dY2Jkd,45-54 years old,1,At home,Cold brew,Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Oat milk,Stevia,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,Coffee B,Coffee A,Coffee D,I do a mix of both,$40-$60,It tastes good,Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Female,Some college or associate's degree,White/Caucasian,Employed part-time,0,Independent
309,RzBqr9,18-24 years old,1,"At a cafe, At home","Pour over, Espresso, Cold brew",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Bold,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,It tastes good,Yes,Yes,,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,Asian/Pacific Islander,,0,
310,lNl89W,18-24 years old,3,At the office,,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,"Artificial Sweeteners (e.g., Splenda)",Nutty,Somewhat light,Light,Full caffeine,1.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$80-$100,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good",Yes,No,$6-$8,$4-$6,No,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
311,PABZGB,25-34 years old,1,"At home, On the go, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Pour over","National chain (e.g. Starbucks, Dunkin), Drive-thru, Local cafe, Specialty coffee shop",Latte,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Bright,Somewhat light,Light,Full caffeine,7.0,2.0,5.0,5.0,5.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"I need the caffeine, I need the ritual, It makes me go to the bathroom",No,Yes,$10-$15,$15-$20,No,$50-$100,Yes,Female,Some college or associate's degree,White/Caucasian,Employed part-time,0,Democrat
312,RzBqjj,25-34 years old,1,"At home, On the go, At a cafe","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)","Local cafe, National chain (e.g. Starbucks, Dunkin)",Pourover,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,"Raw Sugar (Turbinado), Granulated Sugar",Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,Coffee A,Coffee D,Coffee B,I primarily work from home,$40-$60,"I need the ritual, It tastes good",Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
313,LdM4ov,25-34 years old,1,At home,"Pour over, Espresso, Other",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Nordic,Half caff,9.0,1.0,4.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,5.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
314,GrBO5k,55-64 years old,2,At home,"Pour over, Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,7.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,Yes,,,No,$300-$500,Yes,Male,Master's degree,Asian/Pacific Islander,Employed full-time,2,No affiliation
315,ZdRbWo,25-34 years old,2,"At the office, At home",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,"No - just black, Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,7.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,5.0,1.0,4.0,5.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,More than $20,More than $20,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Independent
